topic;media;id_session;DOCID;Order;ABSTRACT;TITLE;AUTHORS;LABOS;FILE
GE et Mécanique;oral;SS-J2pm;29333;3;Dans le cadre de la récupération d'énergie vibratoire, nous avons étudié l'apport d'une non-linéarité mécanique dans un système de récupération. Nous nous sommes intéressés à un générateur électromagnétique composé d'un ressort magnétique, non-linéaire par nature, couplé à un générateur électromagnétique monophasé linéaire. L'étude qui a été faite nous a permis de révéler les avantages de ce type de structures ainsi que de mettre en évidence les paramètres importants pour le calcul du dispositif.;Récupérateur d'énergie vibratoire utilisant une raideur non-linéaire;Rios Quesada Javier  (1), Drezet Cyril  (2);1 - Moving Magnet Technologies S.A. (France), 2 - Département de Mécanique Appliquée R. Chaléat (France);http://sge2014.sciencesconf.org/29333/document
GE et Mécanique;oral;SS-J2pm;30299;4;L'électrovibration et l'effet squeeze film produits respectivement par un champ électrostatique et par vibration ultrasonique, sont deux principes de stimulation tactile permettant de modifier la sensation de toucher d'un utilisateur explorant une surface plane. Le présent article s'attache à démontrer leur compatibilité sur un même stimulateur tactile lors d'une utilisation concomitante. Une description du principe physique et des spécificités de chacun des phénomènes sera entreprise et les résultats expérimentaux obtenus lors de leur association seront par ailleurs présentés.;Couplage vibration ultrasonique et électro-vibration pour la stimulation tactile;Vezzoli Eric  (1), Ben Messaoud Wael  (2) (1), Nadal Clément  (1), Giraud Frédéric  (1), Amberg Michel  (1), Lemaire-Semail Betty  (1), Bueno Marie-Ange  (2);1 - Laboratoire L2EP (France), 2 - Laboratoire de Physique et Mécanique Textiles (France);http://sge2014.sciencesconf.org/30299/document
GE et Mécanique;oral;SS-J2pm;28838;5;Les propriétés magnétiques et magnétoélastiques des matériaux ferromagnétiques doux, utilisés sous forme de tôles laminées, sont sensibles aux conditions d'élaboration (laminage, revêtement...). Ainsi, une méthode de calcul de la magnétostriction et de l'aimantation anhystérétique dans le plan de la tôle à l'échelle macroscopique tenant compte de l'anisotropie et de l'effet des contraintes est présentée. Ce modèle propose, grâce à la mesure des paramètres influant sur l'aimantation à une échelle suffisamment grande pour négliger l'hétérogénéité due aux grains, une expression de l'énergie totale de la tôle et sa minimisation pour déterminer l'aimantation à l'équilibre. Cette approche permet ainsi d'omettre les mesures de textures. Une validation expérimentale ainsi que l'implémentation en éléments finis du modèle seront présentées.;Modélisation macroscopique des couplages magnéto-élastiques d'un matériau ferromagnétique doux;Mbengue Serigne Saliou  (1), Buiron Nicolas  (2), Lanfranchi Vincent  (1);1 - Laboratoire d'Electromécanique de Compiègne (France), 2 - Laboratoire Roberval de Mécanique (France);http://sge2014.sciencesconf.org/28838/document
GE et Mécanique;oral;SS-J2pm;29878;6;Des essais de caractérisation magnéto-mécanique multiaxiaux sont présentés. La mise en ?uvre d'un modèle de comportement magnéto-mécanique avec prise en compte de l'hystérésis accompagne ce travail expérimental. La comparaison des résultats expérimentaux et numériques montre un bon accord qualitatif et quantitatif pour le comportement anhystérétique et le champ coercitif. L'accord est plus difficilement obtenu pour les pertes d'énergie par cycle, l'estimation expérimentale de cette quantité étant délicate à basse fréquence. Ce type de démarche est indispensable pour prédire l'évolution des propriétés des matériaux magnétiques constitutifs des machines électriques sous sollicitations extrêmes, et en particulier les machines électriques à grande vitesse.;Effet des contraintes multiaxiales sur le comportement magnétique des aciers électriques : caractérisation expérimentale et modélisation multi-échelle;Rekik Mahmoud  (1) (2), Daniel Laurent  (3) (2), Hubert Olivier  (1);1 - Laboratoire de Mécanique et Technologie LMT (France), 2 - Laboratoire LGEP (France), 3 - School of Materials, University of Manchester (Royaume-Uni);http://sge2014.sciencesconf.org/29878/document
GE et Physique;oral;SS-J3;10002;1;;Défis de conception de convertisseurs de puissance pour accélérateurs de particules au CERN;Aguglia Davide (1), Burnet Jean-Paul (1);1 - Technology Dept. – Electrical Power Converter (EPC) Group, CERN;ppt
GE et Physique;oral;SS-J3;10004;2;;Ecoulements et transferts dans les systèmes électriques;Harmand Souad (1);1 - Laboratoire TEMPO, Université de Valencienne;ppt
GE et Physique;oral;SS-J3;10006;3;;Métrologie thermique;Himbert Marc (1);1 -Chaire de métrologie, Conservatoire national des arts et métiers;ppt
GE et Physique;oral;SS-J3;30156;4;La réfrigération magnétique, basée sur l'effet magnétocalorique, est une thématique relativement récente et prometteuse devant permettre de réaliser des systèmes moins énergivores que la technologie conventionnelle et sans impact sur l'environnement. Pluridisciplinaire, elle implique de maîtriser toute une filière, du matériau à l'application et de lever des verrous scientifiques et technologiques. L'article fait un état de l'art, discute des derniers travaux réalisés, et illustre les problèmes soulevés en particulier dans le domaine thermique en s'appuyant sur l'expérience acquise au G2Elab.;Réfrigération magnétique Etat de l'art et développements récents;Kedous-Lebouc Afef  (1), Almanza Morgan  (1), Yonnet Jean Paul  (1), Legait Ulrich  (1), Roudaut Julien  (1);1 - Laboratoire G2ELab (France);http://sge2014.sciencesconf.org/30156/document
GE et Physique;oral;SS-J3;44040;5;"La communication présente les principaux résultats théoriques et expérimentaux obtenus depuis une quinzaine d'années dans le domaine de la compensation magnétique de pesanteur. Cette technique, destinée principalement à des études de comportement de fluides en environnement spatial, utilise des sources de champ magnétique généralement élevé. Les avantages et les limites de la lévitation sont présentés ; son application à des problèmes de comportement de fluides sous forme diphasique est décrite.";Compensation magnétique de pesanteur dans des fluides : synthèse des performances et contraintes;Mailfert Alain  (1), Beysens Daniel  (2), Chatain Denis  (3), Lorin Clément  (4);1 - Laboratoire Géoressources (France), 2 - SBT (France), 3 - SBT (France), 4 - SACM (France);http://sge2014.sciencesconf.org/44040/document
Intégration de puissance et architecture;oral;SO-J2pm-A;28918;1;"Cette étude s'inscrit dans le cadre de la science des matériaux pour l'interconnexion à très haute température, au-delà de 400 °C. Les pâtes à braser à base de nanoparticules d'argent constituent des solutions très compétitives pour cette gamme de températures. Les performances d'une brasure se jugent essentiellement sur sa capacité à conserver ses propriétés en cours de fonctionnement, notamment lors de cycles thermiques. La microstructure du matériau joue un rôle crucial dans la manière dont le matériau réagit à une telle contrainte. Un des avantages des brasures à base de nanoparticules d'argent réside dans sa très grande versatilité du fait des nombreuses compositions chimiques accessibles, permettant de choisir à façon les propriétés de la pâte (température de brasage, mouillage, etc.) et de moduler la microstructure finale. Nous présentons ici une méthode d'analyse expérimentale de la microstructure et de son évolution au cours de la calcination des surfactants; elle est appliquée à une brasure destinée à l'interconnexion de dispositifs tout-oxyde fonctionnant à très haute température.";Brasure à base de nanoparticules d'argent : évolution en temps réel de la microstructure et de la résistance;Scola Joseph  (1), Tassart Xavier  (2) (3), Dumas Eddy  (2), Boullay Philippe  (4), Jomard François  (3), Vilar Christèle  (3), Veniaminova Yana  (3) (2), Gascoin Stéphanie  (4);1 - Groupe d'Etude de la Matière Condensée (France), 2 - Institut LAVOISIER (France), 3 - Groupe d'Etude de la Matière Condensée (France), 4 - Laboratoire de cristallographie et sciences des matériaux (France);http://sge2014.sciencesconf.org/28918/document
Intégration de puissance et architecture;oral;SO-J2pm-A;29874;2;Cet article présente plusieurs solutions originales afin de réaliser un transfert isolé des ordres de commutation pour les semiconducteurs de puissance. Sous la contrainte de l'intégration aussi bien monolithique qu'hétérogène, trois solutions sont présentées de façons théoriques et expérimentales. Le premier mode de réalisation intégrée de l'isolation galvanique est une solution optique intégrée au composant de puissance et/ou au sein de son circuit de commande de type CMOS. Les performances statiques et dynamiques des récepteurs optiques sont tout à fait compatibles avec l'application. Enfin, plusieurs transformateurs sans noyau magnétique sont conçus, analysés et caractérisés via une réalisation CMOS, en prenant un soin particulier aux couplages hautes fréquences et éléments parasites. Ce circuit de transmission électromagnétique des ordres est intégré avec plusieurs fonctions de pilotages et le bon fonctionnement de l'ensemble du driver est démontré aussi bien pour les composants Haute Tension High Side que Low Side.;Transfert isolé des signaux de commande dans le contexte de l'intégration pour les composants actifs d'électronique de puissance;Rouger Nicolas  (1), Vafaei Raha  (1), To Duc  (2) (1), Le Long  (1), Corrao Nicolas  (2), Arnould Jean-Daniel  (2), Lembeye Yves  (1), Crebier Jean-Christophe  (1);1 - Laboratoire G2ELab (France), 2 - IMEP-LAHC (France);http://sge2014.sciencesconf.org/29874/document
Intégration de puissance et architecture;oral;SO-J2pm-A;29944;3;Cet article présente les travaux menés sur la réalisation d'un module industriel de conversion DC/DC 42V vers 8V. Ce convertisseur est destiné aux applications aéronautiques militaires, et est amené à se généraliser dans les différentes activités. Ce convertisseur, appelé module DC/DC, fonctionne à une fréquence de découpage comprise entre 1,5MHz et 3MHz. La structure de puissance choisie est un demi-pont capacitif quasi-résonnant à déphasage primaire / secondaire. Le redressement au secondaire est réalisé avec un pont complet. Les composants inductifs (inductances, transformateurs) sont réalisés en planar et utilisent des ferrites développées par THALES. Le fonctionnement haute fréquence du module nécessite l'utilisation de transistors GaN (nitrure de gallium) de chez EPC. Les transistors sont pilotés par un driver à résonnance très compact et à grande fiabilité, qui permet des fréquences de fonctionnement très élevées. Les transistors GaN sont particulièrement sensibles sur les commandes de gate. Des courants de fuite apparaissent et peuvent compromettre le fonctionnement des drivers. Le démonstrateur présenté dans la dernière partie du document, montre l'importance du packaging dans l'optimisation du volume. Les performances en bande passante et rendement y sont aussi présentées.;Module DC/DC phase-shift réversible haute fréquence;Guepratte Kevin  (1), Stephan Hervé  (1), Delaine Johan  (1);1 - THALES Systèmes Aéroportés (France);http://sge2014.sciencesconf.org/29944/document
Intégration de puissance et architecture;oral;SO-J2pm-A;29989;4;L'évaluation des pertes par commutation est une étape essentielle de la conception des convertisseurs statiques. Cependant, les pertes en commutation ne sont pas toujours correctement renseignées dans les notices des fabricants. La première manière de retrouver ces pertes est d'extrapoler les informations des spécifications techniques des fabricants par simulation ou analytiquement, la deuxième est de réaliser des mesures de pertes en commutation avec le composant. Nous présenterons ainsi une méthode de mesure de pertes par commutation non intrusive pour des composants rapides, tels que les composants ?grand gap' et les MOSFETs silicium. Nous développerons par la suite, un modèle comportemental d'un interrupteur de puissance de type MOSFET grâce à une routine de simulation automatisée en vue de l'estimation des pertes et les relevés expérimentaux seront présentés. Ces estimations sont ensuite utilisées pour dimensionner divers convertisseurs. Finalement, différentes topologies de convertisseurs statiques à base de composants GaN sont présentées et testées pour différentes applications.;Evaluation des pertes par commutation pour la conception des convertisseurs et applications des composants grand gap;Brandelero Julio  (1), Cougo Bernardo  (2), Meynard Thierry  (3), Videau Nicolas  (3), Goualard Olivier  (3), Bonnin Xavier  (3), Schneider Henri  (2);1 - CIRTEM (France), 2 - Laboratoire LAAS (France), 3 - Laboratoire LAPLACE (France);http://sge2014.sciencesconf.org/29989/document
Intégration de puissance et architecture;oral;SO-J2pm-A;30103;5;Ce papier propose d'intégrer la fiabilité prévisionnelle dans une approche de pré-dimensionnement de convertisseurs statiques entrelacés pour des applications embarquées automobiles. Cette approche est basée sur une optimisation multi-physique permettant de formaliser le choix d'architecture. Elle intègre les contraintes de conception d'une manière progressive et considère l'aspect fiabilité des composants de puissance. La méthode proposée est appliquée à un convertisseur Buck entrelacé embarqué. Elle permet de pré-dimensionner ce convertisseur en déterminant notamment le nombre optimal de cellules sous contraintes: électriques, rendement, thermiques, encombrement et particulièrement la fiabilité qui se retrouve au même niveau que ces dernières pour éliminer tous les risques de faisabilité dès la phase de pré-dimensionnement.;Intégration de la fiabilité dans la conception sous contraintes multi-physiques des convertisseurs statiques multicellulaires;Bendali Mahraz  (1), Larouci Chérif  (1), Azib Toufik  (1), Marchand Claude  (2), Coquery Gerard  (3);1 - Centre de Recherche et d'Ingénierie de l'ESTACA (France), 2 - Laboratoire LGEP (France), 3 - Laboratoire des Technologies Nouvelles (France);http://sge2014.sciencesconf.org/30103/document
Intégration de puissance et architecture;oral;SO-J2pm-A;30112;6;Le choix d'une architecture de convertisseur puis la conception d'un prototype démonstrateur, pour répondre à une spécification donnée, reste un exercice difficile dans une jungle topologique et technologique. Le développement d'outils d'aide à la conception est donc un passage obligé pour faciliter la tâche des concepteurs mais aussi pour optimiser véritablement les solutions. La puissance sans cesse croissante des plates-formes logicielles et des ordinateurs personnels offre un potentiel largement suffisant pour atteindre des objectifs ambitieux dans cette assistance à la conception. Cela dit, de nombreux problèmes restent à résoudre et parmi eux, la synthèse de modèles réalistes et utilisables dans l'optimisation d'un système complet n'est pas le moindre. Cette contribution propose une philosophie mixant analyses physiques, formulations empiriques issues de bases de données et caractérisations expérimentales pour construire les modèles des principaux acteurs des étages de puissance que sont les composants actifs et passifs, associés selon les cas à des vecteurs de refroidissements.;Modèles analytiques simplifiés des composants de puissance passifs et actifs pour la conception optimale de convertisseurs;Forest Francois  (1), Brunello Julien  (1), Bourdon Jeremy  (2), Meynard Thierry  (3), Labouré Eric  (4), Huselstein Jean Jacques  (1);1 - Institut d'Electronique du Sud IES (France), 2 - AIRBUS (France), 3 - Laboratoire LAPLACE (France), 4 - Laboratoire LGEP (France);http://sge2014.sciencesconf.org/30112/document
Matériaux Diélectriques et systèmes d'isolation;oral;SO-J2am-C;28762;1;H2/O2 plasma treatments offer advantages over other etching processes of diamond as a technique to prepare the substrate's surface prior to homoepitaxial CVD diamond growth particularly in the case of thick films. It allows removing surface defects induced by polishing, thus leading to an improved morphology and limiting the stress within the grown crystal. Nevertheless, this treatment induces surface roughness leading to dislocation formation when CVD growth is initiated. In this paper we combined H2/O2 plasma etching with smoother surface treatment such as RIE-ICP etching or Chemo-Mechanical Polishing and we showed a significant reduction in dislocation density of the thick CVD epitaxial layers.;Développement de nouvelles stratégies de croissance pour réduire la densité de dislocations dans les monocristaux de diamant CVD.;Naamoun Mehdi  (1), Achard Jocelyn  (1), Tallaire Alexandre  (1), Mille Vianney  (1), Doppelt Pascal  (1), Gicquel Alix  (1);1 - Laboratoire des Sciences des Procédés et des Matériaux (France);http://sge2014.sciencesconf.org/28762/document
Matériaux Diélectriques et systèmes d'isolation;oral;SO-J2am-C;29702;2;Cet article porte sur une étude comparative d'une huile végétale à base de jatropha curcas (VO) et de l'huile minérale (MO) sur la base des tensions de claquage et des caractéristiques de génération et de propagation des streamers qui s'y développent. Nous montrons que les tensions de claquage de ce produit naturel et de l'huile minérale, déterminées selon la norme CEI 60156 et CEI 60897 en alternatif, continue et impulsionnel (choc foudre 1,2/50 ?s) sont très proches. Aussi, les longueurs finales des streamers dans ces deux huiles, mesurées en géométrie pointe ? plan sous tensions impulsionnelle, sont également similaires.;Etude des phénomènes de pré-claquage et claquage de l'huile végétale à base de Jatropha Curcas comme substitut à l'huile minérale dans les équipements électriques haute tension;Sitorus Henry-B-H  (1) (2) (3), Beroual Abderrahmane  (3), Setiabudy Rudy  (2), Bismo Setijo  (2);1 - Electrical Engineering Department, Engineering Faculty, Universitas Lampung (Unila) (Indonésie), 2 - Engineering Faculty, Universitas Indonesia (UI) (Indonésie), 3 - Ecole Centrale de Lyon, University of Lyon, Ampere CNRS UMR 5005 (France);http://sge2014.sciencesconf.org/29702/document
Matériaux Diélectriques et systèmes d'isolation;oral;SO-J2am-C;29991;3;Un des problèmes rencontrés dans le développement de câbles HVDC est l'accumulation de charges dans les matériaux isolants, en particulier isolants polymères, destinés à réaliser l'isolation de ces câbles. L'objectif de cette contribution est d'évaluer l'influence d'un gradient de température sur l'accumulation de charges et la distribution de champ électrique dans des câbles moyenne tension modèles (MV-HVDC). Ces distributions de charge/champ sont estimées par la mesure directe ou modélisées à partir de la dépendance en température et en champ de la conductivité mesurée expérimentalement. Les écarts entre modèle et mesure sont discutés.;Distribution de champ électrique dans des câbles modèles MV-HVDC sous gradient thermique: simulation et mesure de distribution de charges d'espace;Vu Thi Thu Nga  (1), Teyssedre Gilbert  (1), Vissouvanadin Bertrand  (1), Le Roy Severine  (1), Laurent Christian  (1), Mammeri Mohamed , Denizet Isabelle ;1 - Laboratoire LAPLACE (France);http://sge2014.sciencesconf.org/29991/document
Matériaux Diélectriques et systèmes d'isolation;oral;SO-J2am-C;30121;4;Les nouvelles contraintes imposées par les applications mobiles des machines électriques, telles que l'automobile ou l'aéronautique, amènent de nouvelle voies de recherche afin d'améliorer la puissance volumique des actionneurs électriques. L'une d'elle est d'augmenter la température de fonctionnement en utilisant de nouveaux matériaux isolants plus à même de supporter cette nouvelle contrainte. Pour cela différentes technologies peuvent être envisagées en lieu et place des polymères organiques. L'originalité de cette étude repose sur une campagne de tests comparatifs de solutions actuellement suffisamment matures comme les polymères nano-chargés et de solutions plus avancées comme l'emploi de céramiques. Les résultats obtenus permettent d'ouvrir d'intéressantes perspectives sur le développement des systèmes d'isolation électrique des machines de demain.;Solutions d'isolation électrique pour les machines fonctionnant à Hautes Températures;Mihaila Vasile  (1) (2), Nguyen Manh Quan  (3), Duchesne Stéphane  (2) (1), Velu Gabriel  (1), Roger Daniel  (1), Malec David  (3), Cambronne Jean Pascal  (3);1 - Laboratoire LS2E (France), 2 - Université Lille Nord de France (France), 3 - Laboratoire LAPLACE (France);http://sge2014.sciencesconf.org/30121/document
Matériaux Diélectriques et systèmes d'isolation;oral;SO-J2am-C;30236;5;Les caractéristiques électriques de couches de SiO2 déposées par PECVD-TEOS, destinées à la passivation primaire de composants de puissance en carbure de silicium (SiC) sont étudiées. Bien que ce type de films soit déjà très utilisé, leurs propriétés sont peu connues aux températures élevées voisines de 250 °C et au-delà, telles que visées par les nouveaux dispositifs en SiC. Les résultats ont montré qu'un traitement thermique de ce type de dépôt de SiO2 permet d'améliorer ses performances électriques. La rigidité diélectrique des films recuits à 400 °C durant une heure sous azote, mesurée dans une gamme de température étendue jusqu'à 300°C indique que ce type de matériau reste un bon candidat pour la passivation primaire à haute température, avec une rigidité diélectrique voisine de 6 MV/cm à 300°C, valeur très élevée comparée à celles d'autres matériaux utilisés pour la passivation des composants.;Propriétés diélectriques à haute température de couches de SiO2 déposées par PECVD TEOS;Wei Lumei  (1), Locatelli Marie-Laure  (1), Diaham Sombel  (1), Pham Cong-Duc  (1), Grosset Grégory  (2), Dupuy Lionel  (2);1 - Laboratoire LAPLACE (France), 2 - Ion Beam Services (France);http://sge2014.sciencesconf.org/30236/document
Matériaux Diélectriques et systèmes d'isolation;oral;SO-J2am-C;30256;6;Le comportement diélectrique d'une résine époxy chargée en alumine est étudié en vue de son utilisation en tant qu'isolant dans le domaine de la haute tension continue. L'évolution de ses propriétés diélectriques à court et long terme est suivie et analysée durant des vieillissements réalisés sous l'effet conjoint de contraintes électriques continues (4 à 12 kV/mm) et de la température (105°C et 125°C).;Etude des propriétés diélectriques d'une résine époxy chargée d'alumine sous contraintes électro-thermiques en régime continu;Yahyaoui Hanen  (1), Notingher Petru  (1), Agnel Serge  (1), Kieffel Yannick  (2);1 - Institut d'Electronique du Sud IES (France), 2 - ALSTOM GRID (France);http://sge2014.sciencesconf.org/30256/document
Matériaux magnétiques et conducteurs;oral;SO-J1-C;29652;1;"The goal of this article is to investigate the possibility to capture the physical effect on the flow via a hybrid piezoelectric-shape
memory alloy actuation at high Reynolds numbers using Polyvinylidene fluoride (PVDF) based pressure indicators at the trailing-edge of morphing wing prototype. The aim is to identify both the highand low-frequent turbulent structures using distributed pressure indicators and thereby identify the actuation effect on the flow. To this end the design of the PVDF based pressure indicator as a function of the Reynolds number, desired frequency and maximum attenuation will be described. Following this description of the design the numerical results are presented. Finally the experimental results will be presented and compared to the turbulent structures identified using high-speed Particle Image Velocimetry. It will be shown that the proposed PVDF based pressure indicator is capable of capturing the aerodynamic phenomena on the trailing edge of an airfoil at high Reynolds numbers.";On the use of PVDF for morphing wing pressure indicators;Duhayon Eric  (1), Palmer Val Pinheiro Olaf  (1), Scheller Johannes  (2) (1), Rouchon Jean-François  (1), Braza Marianna  (2), Rizzo Karl-Joseph  (1);1 - Laboratoire LAPLACE (France), 2 - Institut de mécanique des fluides de Toulouse (France);http://sge2014.sciencesconf.org/29652/document
Matériaux magnétiques et conducteurs;oral;SO-J1-C;29678;2;"Les pertes AC dans les câbles supraconducteurs générées par un environnement variable dans le temps impactent la cryogénie et donc la faisabilité industrielle des dispositifs supraconducteurs. Nexans est aujourd'hui sur le point de réaliser des fils cylindriques supraconducteurs pour des câbles de forte puissance. Aucune étude numérique n'a pour l'instant porté sur le calcul des pertes AC dans un ou plusieurs tubes. Cet article présente les étapes de création d'un modèle de calcul de pertes à l'aide d'un logiciel d'éléments finis pour une nouvelle géométrie :
tube ou cylindre supraconducteur. La non-linéarité des formules E-J ainsi que les problèmes de convergence ont été traités par l'implémentation d'une formulation en H pour la résolution numérique. Les résultats ont été comparés aux formules analytiques. Dans le but de vérifier l'exactitude du modèle, une série de mesures expérimentales a aussi été réalisée sur un ruban supraconducteur industriel.";Modélisations numériques des pertes en régime variable dans des tubes supraconducteurs;Escamez Guillaume  (1) (2), Badel Arnaud  (1), Allais Arnaud  (2), Tixador Pascal  (1), Ramdane Brahim  (1), Meunier Gérard  (1), Bruzek Christian Eric  (3);1 - Université Grenoble Alpes, G2Elab/Ins NEEL (France), 2 - Nexans Research Center (France), 3 - Nexans (France);http://sge2014.sciencesconf.org/29678/document
Matériaux magnétiques et conducteurs;oral;SO-J1-C;29914;3;Dans cet article, un magnétomètre original dédié à la caractérisation statique d'un échantillon est proposé. Il est spécialement conçu pour les ferrofluides dont les comportements sont sensibles au champ magnétique et pour lesquels les méthodes classiques utilisant un échantillon mobile ne sont plus adaptées. Le magnétomètre peut également être utilisé pour tester un matériau faiblement perméable. Le document décrit le dispositif de caractérisation et son utilisation en quatre sections. La première décrit le principe de la mesure et de l'approche mathématique et physique pour la détermination de la courbe J(H). Le deuxième développe la conception du magnétomètre, sa réalisation pratique et son étalonnage ainsi qu'une validation numérique du dispositif et de la reconstruction de J(H). Dans la troisième partie, une validation expérimentale est étudiée sur un échantillon solide en composite de fer ayant une perméabilité faible. Les résultats sont comparés à ceux obtenus avec un magnétomètre à extraction et montrent un bon accord, les différences observées ne dépassant pas quelques pourcents. Enfin une quatrième partie montre par une simulation numérique que le dispositif est capable de mettre en évidence la nature isotrope ou anisotrope de l'échantillon testé.;Magnétomètre statique adapté aux fluides magnétiques faiblement perméables;Petit Mickaël  (1) (2), Kedous-Lebouc Afef  (1), Avenas Yvan  (1), Cherief Wahid  (1), Rullière Elisabeth  (1);1 - Laboratoire G2ELab (France), 2 - Laboratoire SATIE (France) ;http://sge2014.sciencesconf.org/29914/document
Matériaux magnétiques et conducteurs;oral;SO-J1-C;30083;4;La mesure de la conductivité électrique est classiquement réalisée sur des échantillons de géométrie simple à partir desquelles la grandeur d'intérêt peut être aisément déduite. Lorsqu'il n'est pas possible d'extraire des échantillons respectant ces critères géométriques, dans le cadre d'une étude non-intrusive par exemple, d'autres approches doivent être considérées. Ainsi, dans le cadre de ce travail, une méthode de mesure combinant une démarche opératoire et la simulation par éléments finis est développée afin de caractériser la conductivité électrique locale de pièces massives en acier. Afin d'adapter les paramètres expérimentaux à la géométrie de la pièce considérée et à l'aide d'un diagramme 5M (ou diagramme d'Ishikawa), une démarche d'optimisation de la méthode a été entreprise.;Approche combinée expérimentale/numérique pour la mesure de la conductivité électrique locale avec minimisation de l'incertitude de mesure;Arbenz Laure  (1), Benabou Abdelkader  (1), Clénet Stéphane  (1), Coorevits Thierry  (2), Mipo Jean-Claude , Faverolle Pierre ;1 - Laboratoire L2EP (France), 2 - Laboratoire de mécanique de Lille (France);http://sge2014.sciencesconf.org/30083/document
Matériaux magnétiques et conducteurs;oral;SO-J1-C;30327;5;"Les aimants sans terres rares sont des matériaux
revenus au premier plan des préoccupations scientifiques et tech-
nologiques face aux enjeux environnementaux et économiques.
L' émergence de nouveaux marchés, la maîtrise des coûts et la
disponibilité des matières premières poussent à rechercher des
matériaux alternatifs contenant beaucoup moins, voire plus du
tout, d'éléments terres rares choisis parmi les plus communs et les
plus disponibles. Les hexaferrites dopés au Lanthane et au Cobalt
présentent des propriétés intéressantes pour succéder aux aimants
à terres rares. Les propriétés structurales et magnétiques d'un
hexaferrites de strontium commercial sont présentées.

";Étude d'aimants hexaferrites anisotropes de nouvelle génération;Tyrman Muriel  (1), Pasko Oleksandr  (1), De La Barrière Olivier  (1), Mazaleyrat Frederic  (1);1 - Laboratoire SATIE (France);http://sge2014.sciencesconf.org/30327/document
Matériaux magnétiques et conducteurs;oral;SO-J1-C;32575;6;En prenant une voie différente de celle utilisée ces dernières décennies par la formation irréversible de précipités durcissants, de nouveaux feuillards FeCo à haute limite élastqiue ont été mis au point par un procédé spécifique basé sur un recuit défilé et une cristallisation partielle contrôlée de l'alliage industriel Fe49Co49V2. Grâce à un phénomène d'amélioration de ductilité pour un état partiellement cristallisé et désordonné, certaines propriétés s'avèrent très intéressantes pour les applications électrotechniques : limite élastique réglée jusqu'à 1000MPa même pour des feuillards minces, découpabilité aisée à la presse des rotors et stators sur ces matériaux pré-recuits (impensable après recuit statique habituel), possibilité de retrouver de très faibles pertes magnétiques si un recuit supplémentaire dédié est appliqué aux pièces découpées...Cette innovation majeure sera décrite en détail.;"Nouvelles tôles magnétiques Fe-Co ""Fully Process"" pour machines à grande vitesse";Waeckerle Thierry  (1);1 - APERAM Alloys Imphy (France);http://sge2014.sciencesconf.org/32575/document
Méthodes et méthodologies en GE;oral;SO-J2pm-C;30007;1;"Cet article présente une approche de modélisation permettant d'éviter de mailler les parois minces conductrices
en les remplaçant par des interfaces. Ce travail s'appuie sur l'implémentation d'une condition d'interface de type paroi mince conductrice dans une méthode Galerkin Discontinue en domaine temporel. La technique est basée sur une solution analytique fréquentielle unidimensionnelle et une transformée de Fourier inverse pour le passage au domaine temporel. Les résultats ont été comparés à ceux obtenus avec des parois minces entièrement maillées. L'évaluation de l'efficacité du blindage d'une cavité tridimensionnelle est présentée pour illustrer l'intérêt de cette approche.

";Modélisation de Parois Minces Conductrices dans une Méthode Galerkin Discontinue pour l'Évaluation du Blindage de Boîtiers d'Équipements Électroniques;Boubekeur Mohamed  (1), Kameni Abelin  (1), Pichon Lionel  (1);1 - Laboratoire LGEP (France);http://sge2014.sciencesconf.org/30007/document
Méthodes et méthodologies en GE;oral;SO-J2pm-C;30045;2;Dans ce papier, une méthode de calcul rapide des pertes par courants de Foucault (CF) dans les aimants permanents (APs) est proposée. Le modèle est basé sur la résolution des équations de la magnétostatique en utilisant les éléments finis 3D (la conductivité électrique des APs est alors négligée), puis sur le calcul des courants de Foucault à partir de l'équation de Maxwell-Faraday et en utilisant les différences finies (DF) avec un maillage grossier. La machine étudiée est de type synchrone à AP à flux-axial (MSAPFA). Le temps de calcul, comparé à un calcul complet par éléments finis 3D (EF-3D), est divisé par 11.;Méthode de Calcul Rapide des Pertes par Courants de Foucault dans les Aimants Permanents;Benlamine Raouf (1) (2), Dubas Frédéric(1), Randi Sid-Ali (2), Lhotellier Dominique (2), Espanet Christophe (1);1 - FEMTO-ST (France), 2 - RENAULT (France);http://sge2014.sciencesconf.org/30045/document
Méthodes et méthodologies en GE;oral;SO-J2pm-C;30078;3;L'article présente un modèle analytique électromagnétique pour un Moteur Synchro-Réluctant Assisté d'Aimants Permanents (MSR-AP). Le modèle proposé se base sur les équations de Maxwell : le théorème d'Ampère et la loi de conservation de flux. La saturation magnétique dans le stator et le rotor est prise en considération, ainsi que l'influence des ponts magnétiques des barrières de flux. Le but est de calculer les performances du moteur (couple électromagnétique, tension phase-phase et facteur de puissance) pour plusieurs valeurs de courants et d'angles de calage. Les résultats du modèle analytique sont comparés à ceux des éléments finis (MEF) et sont validés par des essais sur un prototype de moteur.;Modélisation analytique d'un moteur synchro-réluctant assisté d'aimants permanents;Prieto Dany  (1), Dessante Philippe  (1), Vannier Jean-Claude  (1), Jannot Xavier  (2), Saint-Michel Jacques  (2);1 - Dpt. Energie, SUPELEC-Campus Gif (France), 2 - Leroy-Somer (France);http://sge2014.sciencesconf.org/30078/document
